😀	विस्मयमानं मुखम्
🚵🏾‍♀	woman mountain biking: मध्यम-कृष्णत्वक्स्वरः
🚵🏿‍♀️	woman mountain biking: कृष्णवर्णीयत्वक्स्वरः
🚵🏿‍♀	woman mountain biking: कृष्णवर्णीयत्वक्स्वरः
🏎️	रेसिंग कार
🏎	रेसिंग कार
🏍️	मोटरसाइकिल
🏍	मोटरसाइकिल
🤸	person cartwheeling
🤸🏻	person cartwheeling: हल्के त्वचास्वरः
🤸🏼	person cartwheeling: मध्यम-हल्का त्वचास्वरः
🤸🏽	person cartwheeling: मध्यम त्वचास्वरः
🤸🏾	person cartwheeling: मध्यम-कृष्णत्वक्स्वरः
🤸🏿	person cartwheeling: कृष्णत्वक्स्वरः
🤸‍♂️	मनुष्यः शकटचक्रं चालयति
🤸‍♂	मनुष्यः शकटचक्रं चालयति
🤸🏻‍♂️	man cartwheeling: हल्के त्वचास्वरः
🤸🏻‍♂	man cartwheeling: हल्के त्वचास्वरः
🤸🏼‍♂️	man cartwheeling: मध्यम-हल्के त्वचास्वरः
🤸🏼‍♂	man cartwheeling: मध्यम-हल्के त्वचास्वरः
🤸🏽‍♂️	man cartwheeling: मध्यम त्वचास्वरः
🤸🏽‍♂	man cartwheeling: मध्यम त्वचास्वरः
🤸🏾‍♂️	man cartwheeling: मध्यम-कृष्णत्वक्स्वरः
🤸🏾‍♂	man cartwheeling: मध्यम-कृष्णत्वक्स्वरः
🤸🏿‍♂️	man cartwheeling: कृष्णत्वक्स्वरः
🤸🏿‍♂	man cartwheeling: कृष्णत्वक्स्वरः
🤸‍♀️	स्त्री शकटचक्रं चालयति
🤸‍♀	स्त्री शकटचक्रं चालयति
🤸🏻‍♀️	woman cartwheeling: हल्के त्वचास्वरः
🤸🏻‍♀	woman cartwheeling: हल्के त्वचास्वरः
🤸🏼‍♀️	woman cartwheeling: मध्यम-हल्के त्वचास्वरः
🤸🏼‍♀	woman cartwheeling: मध्यम-हल्के त्वचास्वरः
🤸🏽‍♀️	woman cartwheeling: मध्यमत्वक्स्वरः
🤸🏽‍♀	woman cartwheeling: मध्यमत्वक्स्वरः
🤸🏾‍♀️	woman cartwheeling: मध्यम-कृष्णत्वक्स्वरः
🤸🏾‍♀	woman cartwheeling: मध्यम-कृष्णत्वक्स्वरः
🤸🏿‍♀️	woman cartwheeling: कृष्णत्वक्स्वरः
🤸🏿‍♀	woman cartwheeling: कृष्णत्वक्स्वरः
🤼	जनाः मल्लयुद्धं कुर्वन्ति
🤼‍♂️	पुरुषाः मल्लयुद्धं कुर्वन्ति
🤼‍♂	पुरुषाः मल्लयुद्धं कुर्वन्ति
🤼‍♀️	स्त्रियः मल्लयुद्धं कुर्वन्ति
🤼‍♀	स्त्रियः मल्लयुद्धं कुर्वन्ति
🤽	जलपोलो क्रीडन् व्यक्तिः
🤽🏻	जलपोलो क्रीडन् व्यक्तिः : हल्के त्वचास्वरः
🤽🏼	जलपोलो क्रीडन् व्यक्तिः मध्यम-हल्का त्वचास्वरः
🤽🏽	जलपोलो क्रीडन् व्यक्तिः मध्यमत्वक्स्वरः
🤽🏾	जलपोलो क्रीडन् व्यक्तिः मध्यम-कृष्णत्वक्स्वरः
🤽🏿	जलपोलो क्रीडन् व्यक्तिः : कृष्णत्वक्स्वरः
🤽‍♂️	जलपोलो क्रीडन् पुरुषः
🤽‍♂	जलपोलो क्रीडन् पुरुषः
🤽🏻‍♂️	जलपोलो क्रीडन् पुरुषः : हल्के त्वचास्वरः
🤽🏻‍♂	जलपोलो क्रीडन् पुरुषः : हल्के त्वचास्वरः
🤽🏼‍♂️	जलपोलो क्रीडन् पुरुषः : मध्यम-हल्का त्वचास्वरः
🤽🏼‍♂	जलपोलो क्रीडन् पुरुषः : मध्यम-हल्का त्वचास्वरः
🤽🏽‍♂️	जलपोलो क्रीडन् पुरुषः : मध्यमत्वक्स्वरः
🤽🏽‍♂	जलपोलो क्रीडन् पुरुषः : मध्यमत्वक्स्वरः
🤽🏾‍♂️	जलपोलो क्रीडन् पुरुषः : मध्यम-कृष्णत्वक्-स्वरः
🤽🏾‍♂	जलपोलो क्रीडन् पुरुषः : मध्यम-कृष्णत्वक्-स्वरः
🤽🏿‍♂️	जलपोलो क्रीडन् पुरुषः : कृष्णत्वक्स्वरः
🤽🏿‍♂	जलपोलो क्रीडन् पुरुषः : कृष्णत्वक्स्वरः
🤽‍♀️	जलपोलोक्रीडां कुर्वती महिला
🤽‍♀	जलपोलोक्रीडां कुर्वती महिला
🤽🏻‍♀️	जलपोलो क्रीडन्ती महिला : हल्के त्वचास्वरः
🤽🏻‍♀	जलपोलो क्रीडन्ती महिला : हल्के त्वचास्वरः
🤽🏼‍♀️	जलपोलो क्रीडन्ती महिला : मध्यम-हल्का त्वचास्वरः
🤽🏼‍♀	जलपोलो क्रीडन्ती महिला : मध्यम-हल्का त्वचास्वरः
🤽🏽‍♀️	जलपोलो क्रीडन्ती महिला : मध्यमत्वक्स्वरः
🤽🏽‍♀	जलपोलो क्रीडन्ती महिला : मध्यमत्वक्स्वरः
🤽🏾‍♀️	जलपोलो क्रीडन्ती महिला : मध्यम-कृष्णत्वक्स्वरः
🤽🏾‍♀	जलपोलो क्रीडन्ती महिला : मध्यम-कृष्णत्वक्स्वरः
🤽🏿‍♀️	जलपोलो क्रीडन्ती महिला : कृष्णत्वक्स्वरः
🤽🏿‍♀	जलपोलो क्रीडन्ती महिला : कृष्णत्वक्स्वरः
🤾	हस्तकन्दुकक्रीडां कुर्वन् व्यक्तिः
🤾🏻	हस्तकन्दुकं क्रीडन् व्यक्तिः : हल्के त्वचास्वरः
🤾🏼	हस्तकन्दुकं क्रीडन् व्यक्तिः मध्यम-हल्का त्वचास्वरः
🤾🏽	हस्तकन्दुकं क्रीडन् व्यक्तिः मध्यमत्वक्स्वरः
🤾🏾	हस्तकन्दुकं क्रीडन् व्यक्तिः मध्यम-कृष्णत्वक्स्वरः
🤾🏿	हस्तकन्दुकं क्रीडन् व्यक्तिः : कृष्णत्वक्स्वरः
🤾‍♂️	हस्तकन्दुकक्रीडां कुर्वन् पुरुषः
🤾‍♂	हस्तकन्दुकक्रीडां कुर्वन् पुरुषः
🤾🏻‍♂️	हस्तकन्दुकं क्रीडन् पुरुषः : हल्के त्वचास्वरः
🤾🏻‍♂	हस्तकन्दुकं क्रीडन् पुरुषः : हल्के त्वचास्वरः
