😀	ꯒ꯭ꯔꯤꯅꯤꯡ ꯐꯦꯁ꯫
🛀🏿	ꯂꯨ-ꯅꯥꯅꯕꯥ ꯃꯤꯑꯣꯏ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🛌	ꯐꯃꯨꯡꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ꯫
🛌🏻	ꯐꯃꯨꯡꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🛌🏼	ꯐꯃꯨꯡꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🛌🏽	ꯐꯃꯨꯡꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🛌🏾	ꯐꯃꯨꯡꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🛌🏿	ꯐꯃꯨꯡꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🕴️	ꯁꯨꯇꯇꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯗꯨ ꯂꯦꯚꯤꯇꯦꯠ ꯇꯧꯕꯥ꯫
🕴	ꯁꯨꯇꯇꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯗꯨ ꯂꯦꯚꯤꯇꯦꯠ ꯇꯧꯕꯥ꯫
🕴🏻	ꯁꯨꯇꯇꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯦꯚꯤꯇꯦꯠ ꯇꯧꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🕴🏼	ꯁꯨꯇꯇꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯗꯨ ꯂꯦꯚꯤꯇꯦꯠ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🕴🏽	ꯁꯨꯇꯇꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯗꯨ ꯂꯦꯚꯤꯇꯦꯠ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🕴🏾	ꯁꯨꯇꯇꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯦꯚꯤꯇꯦꯠ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🕴🏿	ꯁꯨꯇꯇꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯦꯚꯤꯇꯦꯠ ꯇꯧꯕꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🗣️	ꯋꯥ ꯉꯥꯡꯕꯥ ꯃꯀꯣꯛ꯫
🗣	ꯋꯥ ꯉꯥꯡꯕꯥ ꯃꯀꯣꯛ꯫
👤	ꯁꯤꯂꯍꯧꯗꯥ ꯕꯁ꯭ꯠ ꯇꯧꯕꯥ꯫
👥	ꯁꯤꯂꯍꯧꯗꯥ ꯕꯁ꯭ꯠ ꯇꯧꯏ꯫
🤺	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯐꯦꯟꯁꯤꯡ ꯇꯧꯕꯥ꯫
🏇	ꯍꯨꯏꯒꯤ ꯔꯦꯁꯤꯡ ꯇꯧꯕꯥ꯫
🏇🏻	ꯍꯨꯏꯒꯤ ꯔꯦꯁꯤꯡ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏇🏼	ꯍꯨꯏꯒꯤ ꯔꯦꯁꯤꯡ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏇🏽	ꯍꯨꯏꯒꯤ ꯔꯦꯁꯤꯡ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏇🏾	ꯍꯨꯏꯒꯤ ꯔꯦꯁꯤꯡ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏇🏿	ꯍꯨꯏꯒꯤ ꯔꯦꯁꯤꯡ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
⛷️	ꯁ꯭ꯀꯥꯏ ꯇꯧꯕꯥ ꯃꯤꯑꯣꯏ꯫
⛷	ꯁ꯭ꯀꯥꯏ ꯇꯧꯕꯥ ꯃꯤꯑꯣꯏ꯫
🏂	ꯁ꯭ꯅꯣꯕꯣꯔꯗꯔ ꯇꯧꯕꯥ ꯃꯤꯑꯣꯏ꯫
🏂🏻	ꯁ꯭ꯅꯣꯕꯣꯔꯗꯔ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏂🏼	ꯁ꯭ꯅꯣꯕꯣꯔꯗꯔ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏂🏽	ꯁ꯭ꯅꯣꯕꯣꯔꯗꯔ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏂🏾	ꯁ꯭ꯅꯣꯕꯣꯔꯗꯔ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏂🏿	ꯁ꯭ꯅꯣꯕꯣꯔꯗꯔ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏌️	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤ꯫
🏌	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤ꯫
🏌🏻	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐ ꯇꯧꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏼	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏽	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏾	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏿	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐ ꯇꯧꯕꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏌️‍♂️	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤ꯫
🏌‍♂️	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤ꯫
🏌️‍♂	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤ꯫
🏌‍♂	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤ꯫
🏌🏻‍♂️	man golfing: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏻‍♂	man golfing: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏼‍♂️	man golfing: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏼‍♂	man golfing: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏽‍♂️	man golfing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏌🏽‍♂	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏾‍♂️	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏾‍♂	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯒꯜꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏿‍♂️	man golfing: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏌🏿‍♂	man golfing: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏌️‍♀️	ꯅꯨꯄꯤ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤ꯫
🏌‍♀️	ꯅꯨꯄꯤ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤ꯫
🏌️‍♀	ꯅꯨꯄꯤ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤ꯫
🏌‍♀	ꯅꯨꯄꯤ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤ꯫
🏌🏻‍♀️	ꯅꯨꯄꯤꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏻‍♀	ꯅꯨꯄꯤꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏼‍♀️	ꯅꯨꯄꯤ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏼‍♀	ꯅꯨꯄꯤ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏽‍♀️	ꯅꯨꯄꯤ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤꯕꯥ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏌🏽‍♀	ꯅꯨꯄꯤ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤꯕꯥ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏌🏾‍♀️	ꯅꯨꯄꯤꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏾‍♀	ꯅꯨꯄꯤꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏌🏿‍♀️	ꯅꯨꯄꯤꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤꯕꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏌🏿‍♀	ꯅꯨꯄꯤꯅꯥ ꯒꯜꯐꯇꯥ ꯁꯥꯟꯅꯔꯤꯕꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏄	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯁꯥꯔꯐ ꯇꯧꯕꯥ꯫
🏄🏻	ꯃꯤꯑꯣꯏ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏼	ꯃꯤꯑꯣꯏ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏽	ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏾	ꯃꯤꯑꯣꯏ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏿	person surfing: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏄‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯥꯔꯐ ꯇꯧꯕꯥ꯫
🏄‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯥꯔꯐ ꯇꯧꯕꯥ꯫
🏄🏻‍♂️	man surfing: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏻‍♂	man surfing: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏼‍♂️	man surfing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏼‍♂	man surfing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏽‍♂️	man surfing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏄🏽‍♂	man surfing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏄🏾‍♂️	man surfing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏾‍♂	man surfing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏿‍♂️	man surfing: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏄🏿‍♂	man surfing: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏄‍♀️	ꯅꯨꯄꯤ ꯁꯥꯔꯐ ꯇꯧꯕꯥ꯫
🏄‍♀	ꯅꯨꯄꯤ ꯁꯥꯔꯐ ꯇꯧꯕꯥ꯫
🏄🏻‍♀️	ꯅꯨꯄꯤ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏻‍♀	ꯅꯨꯄꯤ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏼‍♀️	ꯅꯨꯄꯤ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏼‍♀	ꯅꯨꯄꯤ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏽‍♀️	ꯅꯨꯄꯤ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏽‍♀	ꯅꯨꯄꯤ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏾‍♀️	ꯅꯨꯄꯤ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏾‍♀	ꯅꯨꯄꯤ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏄🏿‍♀️	ꯅꯨꯄꯤ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏄🏿‍♀	ꯅꯨꯄꯤ ꯁꯥꯔꯐ ꯇꯧꯕꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🚣	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯕꯣꯠ ꯔꯣꯋꯤꯡ ꯇꯧꯕꯥ꯫
🚣🏻	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯕꯣꯠ ꯔꯣꯋꯤꯡ ꯇꯧꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏼	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯕꯣꯠ ꯔꯣꯋꯤꯡ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏽	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯕꯣꯠ ꯔꯣꯋꯤꯡ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏾	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯕꯣꯠ ꯔꯣꯋꯤꯡ ꯇꯧꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏿	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯕꯣꯠ ꯔꯣꯋꯤꯡ ꯇꯧꯕꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🚣‍♂️	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯕꯣꯠ ꯊꯧꯕꯥ꯫
🚣‍♂	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯕꯣꯠ ꯊꯧꯕꯥ꯫
🚣🏻‍♂️	man rowing boat: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏻‍♂	man rowing boat: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏼‍♂️	man rowing boat: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏼‍♂	man rowing boat: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏽‍♂️	man rowing boat: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🚣🏽‍♂	man rowing boat: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🚣🏾‍♂️	man rowing boat: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏾‍♂	man rowing boat: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏿‍♂️	man rowing boat: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🚣🏿‍♂	man rowing boat: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🚣‍♀️	ꯅꯨꯄꯤ ꯔꯣꯋꯤꯡ ꯕꯣꯠ꯫
🚣‍♀	ꯅꯨꯄꯤ ꯔꯣꯋꯤꯡ ꯕꯣꯠ꯫
🚣🏻‍♀️	ꯅꯨꯄꯤ ꯔꯣꯋꯤꯡ ꯕꯣꯠ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏻‍♀	ꯅꯨꯄꯤ ꯔꯣꯋꯤꯡ ꯕꯣꯠ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏼‍♀️	ꯅꯨꯄꯤ ꯔꯣꯋꯤꯡ ꯕꯣꯠ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏼‍♀	ꯅꯨꯄꯤ ꯔꯣꯋꯤꯡ ꯕꯣꯠ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏽‍♀️	ꯅꯨꯄꯤ ꯔꯣꯋꯤꯡ ꯕꯣꯠ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🚣🏽‍♀	ꯅꯨꯄꯤ ꯔꯣꯋꯤꯡ ꯕꯣꯠ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🚣🏾‍♀️	ꯅꯨꯄꯤ ꯔꯣꯋꯤꯡ ꯕꯣꯠ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏾‍♀	ꯅꯨꯄꯤ ꯔꯣꯋꯤꯡ ꯕꯣꯠ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🚣🏿‍♀️	ꯅꯨꯄꯤ ꯔꯣꯋꯤꯡ ꯕꯣꯠ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🚣🏿‍♀	ꯅꯨꯄꯤ ꯔꯣꯋꯤꯡ ꯕꯣꯠ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏊	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯇꯨꯝꯕꯥ꯫
🏊🏻	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯇꯨꯝꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏊🏼	ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯇꯨꯝꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏊🏽	ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯇꯨꯝꯕꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏊🏾	ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯇꯨꯝꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏊🏿	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯇꯨꯝꯕꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏊‍♂️	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯝ ꯀꯣꯏꯕꯥ꯫
🏊‍♂	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯝ ꯀꯣꯏꯕꯥ꯫
🏊🏻‍♂️	man swimming: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏊🏻‍♂	man swimming: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏊🏼‍♂️	man swimming: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏊🏼‍♂	man swimming: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏊🏽‍♂️	man swimming: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏊🏽‍♂	man swimming: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏊🏾‍♂️	man swimming: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
