😀	שמייכלענדיק פנים
🤾🏿‍♀️	פרוי פּלייינג האַנדבאַלל: טונקל הויט טאָן
🤾🏿‍♀	פרוי פּלייינג האַנדבאַלל: טונקל הויט טאָן
🤹	מענטש דזשאַגאַלינג
🤹🏻	מענטש דזשאַגאַלינג: ליכט הויט טאָן
🤹🏼	מענטש דזשאַגאַלינג: מיטל-ליכט הויט טאָן
🤹🏽	מענטש דזשאַגאַלינג: מיטל הויט טאָן
🤹🏾	מענטש דזשאַגאַלינג: מיטל-פינצטער הויט טאָן
🤹🏿	מענטש דזשאַגאַלינג: טונקל הויט טאָן
🤹‍♂️	מענטש דזשאַגאַלינג
🤹‍♂	מענטש דזשאַגאַלינג
🤹🏻‍♂️	מענטש דזשאַגאַלינג: ליכט הויט טאָן
🤹🏻‍♂	מענטש דזשאַגאַלינג: ליכט הויט טאָן
🤹🏼‍♂️	מענטש דזשאַגאַלינג: מיטל-ליכט הויט טאָן
🤹🏼‍♂	מענטש דזשאַגאַלינג: מיטל-ליכט הויט טאָן
🤹🏽‍♂️	מענטש דזשאַגאַלינג: מיטל הויט טאָן
🤹🏽‍♂	מענטש דזשאַגאַלינג: מיטל הויט טאָן
🤹🏾‍♂️	מענטש דזשאַגאַלינג: מיטל-פינצטער הויט טאָן
🤹🏾‍♂	מענטש דזשאַגאַלינג: מיטל-פינצטער הויט טאָן
🤹🏿‍♂️	מענטש דזשאַגאַלינג: טונקל הויט טאָן
🤹🏿‍♂	מענטש דזשאַגאַלינג: טונקל הויט טאָן
🤹‍♀️	פרוי דזשאַגאַלינג
🤹‍♀	פרוי דזשאַגאַלינג
🤹🏻‍♀️	פרוי דזשאַגאַלינג: ליכט הויט טאָן
🤹🏻‍♀	פרוי דזשאַגאַלינג: ליכט הויט טאָן
🤹🏼‍♀️	פרוי דזשאַגאַלינג: מיטל-ליכט הויט טאָן
🤹🏼‍♀	פרוי דזשאַגאַלינג: מיטל-ליכט הויט טאָן
🤹🏽‍♀️	פרוי דזשאַגאַלינג: מיטל הויט טאָן
🤹🏽‍♀	פרוי דזשאַגאַלינג: מיטל הויט טאָן
🤹🏾‍♀️	פרוי דזשאַגאַלינג: מיטל-פינצטער הויט טאָן
🤹🏾‍♀	פרוי דזשאַגאַלינג: מיטל-פינצטער הויט טאָן
🤹🏿‍♀️	פרוי דזשאַגאַלינג: טונקל הויט טאָן
🤹🏿‍♀	פרוי דזשאַגאַלינג: טונקל הויט טאָן
👫	מענטש און פרוי האלטן הענט
👬	צוויי מענער וואָס האַלטן די הענט
👭	צוויי פרויען האַלטן הענט
💏	קושן
👩‍❤️‍💋‍👨	קוש: פרוי, מענטש
👩‍❤‍💋‍👨	קוש: פרוי, מענטש
👨‍❤️‍💋‍👨	קוש: מענטש, מענטש
👨‍❤‍💋‍👨	קוש: מענטש, מענטש
👩‍❤️‍💋‍👩	קוש: פרוי, פרוי
👩‍❤‍💋‍👩	קוש: פרוי, פרוי
💑	פּאָר מיט האַרץ
👩‍❤️‍👨	פּאָר מיט האַרץ: פרוי, מענטש
👩‍❤‍👨	פּאָר מיט האַרץ: פרוי, מענטש
👨‍❤️‍👨	פּאָר מיט האַרץ: מענטש, מענטש
👨‍❤‍👨	פּאָר מיט האַרץ: מענטש, מענטש
👩‍❤️‍👩	פּאָר מיט האַרץ: פרוי, פרוי
👩‍❤‍👩	פּאָר מיט האַרץ: פרוי, פרוי
👪	משפּחה
👨‍👩‍👦	משפּחה: מאַן, פרוי, יינגל
👨‍👩‍👧	משפּחה: מאַן, פרוי, מיידל
👨‍👩‍👧‍👦	משפּחה: מאַן, פרוי, מיידל, יינגל
👨‍👩‍👦‍👦	משפּחה: מענטש, פרוי, יינגל, יינגל
👨‍👩‍👧‍👧	משפּחה: מאַן, פרוי, מיידל, מיידל
👨‍👨‍👦	משפּחה: מענטש, מענטש, יינגל
👨‍👨‍👧	משפּחה: מענטש, מענטש, מיידל
👨‍👨‍👧‍👦	משפּחה: מענטש, מענטש, מיידל, יינגל
👨‍👨‍👦‍👦	משפּחה: מענטש, מענטש, יינגל, יינגל
👨‍👨‍👧‍👧	משפּחה: מענטש, מענטש, מיידל, מיידל
👩‍👩‍👦	משפּחה: פרוי, פרוי, יינגל
👩‍👩‍👧	משפּחה: פרוי, פרוי, מיידל
👩‍👩‍👧‍👦	משפּחה: פרוי, פרוי, מיידל, יינגל
👩‍👩‍👦‍👦	משפּחה: פרוי, פרוי, יינגל, יינגל
👩‍👩‍👧‍👧	משפּחה: פרוי, פרוי, מיידל, מיידל
👨‍👦	משפּחה: מענטש, יינגל
👨‍👦‍👦	משפּחה: מענטש, יינגל, יינגל
👨‍👧	משפּחה: מענטש, מיידל
👨‍👧‍👦	משפּחה: מענטש, מיידל, יינגל
👨‍👧‍👧	משפּחה: מענטש, מיידל, מיידל
👩‍👦	משפּחה: פרוי, יינגל
👩‍👦‍👦	משפּחה: פרוי, יינגל, יינגל
👩‍👧	משפּחה: פרוי, מיידל
👩‍👧‍👦	משפּחה: פרוי, מיידל, יינגל
👩‍👧‍👧	משפּחה: פרוי, מיידל, מיידל
🤳	Selfie
🤳🏻	Selfie: ליכט הויט טאָן
🤳🏼	Selfie: מיטל-ליכט הויט טאָן
🤳🏽	Selfie: מיטל הויט טאָן
🤳🏾	Selfie: מיטל-פינצטער הויט טאָן
🤳🏿	Selfie: טונקל הויט טאָן
💪	פלעקסט ביסעפּס
💪🏻	פלעקסעד ביסעפּס: ליכט הויט טאָן
💪🏼	פלעקסעד ביסעפּס: מיטל-ליכט הויט טאָן
💪🏽	פלעקסעד ביסעפּס: מיטל הויט טאָן
💪🏾	פלעקסעד ביסעפּס: מיטל-פינצטער הויט טאָן
💪🏿	פלעקסעד ביסעפּס: טונקל הויט טאָן
🦵	פוס
🦵🏻	פוס: ליכט הויט טאָן
🦵🏼	פוס: מיטל-ליכט הויט טאָן
🦵🏽	פוס: מיטל הויט טאָן
🦵🏾	פוס: מיטל-פינצטער הויט טאָן
🦵🏿	פוס: טונקל הויט טאָן
🦶	פֿיס
🦶🏻	פֿיס: ליכט הויט טאָן
🦶🏼	פֿיס: מיטל-ליכט הויט טאָן
🦶🏽	פֿיס: מיטל הויט טאָן
🦶🏾	פֿיס: מיטל-פינצטער הויט טאָן
🦶🏿	פֿיס: טונקל הויט טאָן
👈	באַקכאַנד אינדעקס פּוינטינג לינקס
👈🏻	באַקכאַנד אינדעקס פּוינטינג לינקס: ליכט הויט טאָן
👈🏼	באַקכאַנד אינדעקס פּוינטינג לינקס: מיטל-ליכט הויט טאָן
👈🏽	באַקכאַנד אינדעקס פּוינטינג לינקס: מיטל הויט טאָן
👈🏾	באַקכאַנד אינדעקס פּוינטינג לינקס: מיטל-פינצטער הויט טאָן
👈🏿	באַקכאַנד אינדעקס פּוינטינג לינקס: טונקל הויט טאָן
👉	באַקכאַנד אינדעקס פּוינטינג רעכט
👉🏻	באַקכאַנד אינדעקס ווייזן רעכט: ליכט הויט טאָן
👉🏼	באַקכאַנד אינדעקס ווייזן רעכט: מיטל-ליכט הויט טאָן
👉🏽	באַקכאַנד אינדעקס ווייזן רעכט: מיטל הויט טאָן
👉🏾	באַקכאַנד אינדעקס ווייזן רעכט: מיטל-פינצטער הויט טאָן
👉🏿	באַקכאַנד אינדעקס ווייזן רעכט: טונקל הויט טאָן
☝️	אינדעקס ווייזן אַרויף
☝	אינדעקס ווייזן אַרויף
☝🏻	אינדעקס ווייזן אַרויף: ליכט הויט טאָן
☝🏼	אינדעקס: מיטל-ליכט הויט טאָן
☝🏽	אינדעקס: מיטל הויט טאָן
☝🏾	אינדעקס: מיטל-פינצטער הויט טאָן
☝🏿	אינדעקס ווייזן אַרויף: טונקל הויט טאָן
👆	באַקכאַנד אינדעקס פּוינטינג אַרויף
👆🏻	באַקכאַנד אינדעקס: ליכט הויט טאָן
👆🏼	באַקכאַנד אינדעקס: מיטל-ליכט הויט טאָן
👆🏽	באַקכאַנד אינדעקס: מיטל הויט טאָן
👆🏾	באַקכאַנד אינדעקס: מיטל-פינצטער הויט טאָן
👆🏿	באַקכאַנד אינדעקס ווייזן אַרויף: טונקל הויט טאָן
🖕	מיטן פינגער
🖕🏻	מיטל פינגער: ליכט הויט טאָן
🖕🏼	מיטל פינגער: מיטל-ליכט הויט טאָן
🖕🏽	מיטל פינגער: מיטל הויט טאָן
🖕🏾	מיטל פינגער: מיטל-פינצטער הויט טאָן
🖕🏿	מיטל פינגער: טונקל הויט טאָן
👇	באַקכאַנד אינדעקס פּוינטינג אַראָפּ
👇🏻	באַקכאַנד אינדעקס פּוינטינג אַראָפּ: ליכט הויט טאָן
👇🏼	באַקכאַנד אינדעקס פּוינטינג אַראָפּ: מיטל-ליכט הויט טאָן
👇🏽	באַקכאַנד אינדעקס פּוינטינג אַראָפּ: מיטל הויט טאָן
👇🏾	באַקכאַנד אינדעקס פּוינטינג אַראָפּ: מיטל-פינצטער הויט טאָן
👇🏿	באַקכאַנד אינדעקס פּוינטינג אַראָפּ: טונקל הויט טאָן
✌️	נצחון האַנט
✌	נצחון האַנט
✌🏻	נצחון האַנט: ליכט הויט טאָן
✌🏼	נצחון האַנט: מיטל-ליכט הויט טאָן
✌🏽	נצחון האַנט: מיטל הויט טאָן
✌🏾	נצחון האַנט: מיטל-פינצטער הויט טאָן
✌🏿	נצחון האַנט: טונקל הויט טאָן
🤞	געקראָגן פינגער
🤞🏻	קראָסט פינגער: ליכט הויט טאָן
🤞🏼	קראָסט פינגער: מיטל-ליכט הויט טאָן
🤞🏽	קראָסט פינגער: מיטל הויט טאָן
🤞🏾	קראָסט פינגער: מיטל-פינצטער הויט טאָן
🤞🏿	קראָסט פינגער: טונקל הויט טאָן
🖖	ווולקאַן באַגריסן
🖖🏻	ווולקאַן באַגריסן: ליכט הויט טאָן
🖖🏼	ווולקאַן באַגריסן: מיטל-ליכט הויט טאָן
🖖🏽	ווולקאַן באַגריסן: מיטל הויט טאָן
🖖🏾	ווולקאַן באַגריסן: מיטל-פינצטער הויט טאָן
🖖🏿	ווולקאַן באַגריסן: טונקל הויט טאָן
🤘	צייכן פון די הערנער
🤘🏻	צייכן פון די הערנער: ליכט הויט טאָן
🤘🏼	צייכן פון די הערנער: מיטל-ליכט הויט טאָן
🤘🏽	צייכן פון די הערנער: מיטל הויט טאָן
🤘🏾	צייכן פון די הערנער: מיטל-פינצטער הויט טאָן
🤘🏿	צייכן פון די הערנער: טונקל הויט טאָן
🤙	רופן מיר האַנט
🤙🏻	רופן מיר האַנט: ליכט הויט טאָן
🤙🏼	רופן מיר האַנט: מיטל-ליכט הויט טאָן
🤙🏽	רופן מיר האַנט: מיטל הויט טאָן
🤙🏾	רופן מיר האַנט: מיטל-פינצטער הויט טאָן
🤙🏿	רופן מיר האַנט: טונקל הויט טאָן
🖐️	האנט מיט אויסגעשפרייטע פינגער
🖐	האנט מיט אויסגעשפרייטע פינגער
🖐🏻	האַנט מיט די פינגער: ליכט הויט טאָן
🖐🏼	האַנט מיט ספּלייד פינגער: מיטל-ליכט הויט טאָן
🖐🏽	האַנט מיט ספּלייד פינגער: מיטל הויט טאָן
🖐🏾	האַנט מיט אויסגעשטרעקט פינגער: מיטל-פינצטער הויט טאָן
🖐🏿	האַנט מיט די פינגער: טונקל הויט טאָן
✋	אויפגעהויבן האנט
✋🏻	אויפשטיין האַנט: ליכט הויט טאָן
✋🏼	אויפשטיין האַנט: מיטל-ליכט הויט טאָן
✋🏽	אויפשטיין האַנט: מיטל הויט טאָן
✋🏾	אויפשטיין האַנט: מיטל-פינצטער הויט טאָן
✋🏿	אויפשטיין האַנט: טונקל הויט טאָן
👌	גוט האַנט
👌🏻	גוט האַנט: ליכט הויט טאָן
👌🏼	גוט האַנט: מיטל-ליכט הויט טאָן
👌🏽	גוט האַנט: מיטל הויט טאָן
👌🏾	גוט האַנט: מיטל-פינצטער הויט טאָן
👌🏿	גוט האַנט: טונקל הויט טאָן
👍	גראָבער פינגער אַרויף
👍🏻	טהומבס אַרויף: ליכט הויט טאָן
👍🏼	טהומבס אַרויף: מיטל-ליכט הויט טאָן
👍🏽	טהומבס אַרויף: מיטל הויט טאָן
👍🏾	טהומבס אַרויף: מיטל-פינצטער הויט טאָן
👍🏿	טהומבס אַרויף: טונקל הויט טאָן
👎	גראָבער פינגער אַראָפּ
👎🏻	טהומבס אַראָפּ: ליכט הויט טאָן
👎🏼	טהומבס אַראָפּ: מיטל-ליכט הויט טאָן
👎🏽	טהומבס אַראָפּ: מיטל הויט טאָן
👎🏾	טהומבס אַראָפּ: מיטל-פינצטער הויט טאָן
👎🏿	טהומבס אַראָפּ: טונקל הויט טאָן
✊	אויפגעהויבן פויסט
✊🏻	אויפשטיין פויסט: ליכט הויט טאָן
✊🏼	אויפשטיין פויסט: מיטל-ליכט הויט טאָן
✊🏽	אויפשטיין פויסט: מיטל הויט טאָן
✊🏾	אויפשטיין פויסט: מיטל-פינצטער הויט טאָן
✊🏿	אויפשטיין פויסט: טונקל הויט טאָן
👊	אָנקאַמינג פויסט
👊🏻	אָנקאַמינג פויסט: ליכט הויט טאָן
👊🏼	אָנקאַמינג פויסט: מיטל-ליכט הויט טאָן
👊🏽	אָנקאַמינג פויסט: מיטל הויט טאָן
👊🏾	אָנקאַמינג פויסט: מיטל-פינצטער הויט טאָן
👊🏿	אָנקאַמינג פויסט: טונקל הויט טאָן
🤛	לינקס-פייסינג פויסט
🤛🏻	לינקס-פייסינג פויסט: ליכט הויט טאָן
🤛🏼	לינקס-פייסינג פויסט: מיטל-ליכט הויט טאָן
🤛🏽	לינקס-פייסינג פויסט: מיטל הויט טאָן
🤛🏾	לינקס-פייסינג פויסט: מיטל-פינצטער הויט טאָן
🤛🏿	לינקס-פייסינג פויסט: טונקל הויט טאָן
🤜	רעכט-פייסינג פויסט
🤜🏻	רעכט-פייסינג פויסט: ליכט הויט טאָן
🤜🏼	רעכט-פייסינג פויסט: מיטל-ליכט הויט טאָן
🤜🏽	רעכט-פייסינג פויסט: מיטל הויט טאָן
🤜🏾	רעכט-פייסינג פויסט: מיטל-פינצטער הויט טאָן
🤜🏿	רעכט-פייסינג פויסט: טונקל הויט טאָן
🤚	אויפגעהויבן צוריק פון האַנט
🤚🏻	אויפשטיין צוריק פון האַנט: ליכט הויט טאָן
🤚🏼	אויפשטיין צוריק פון האַנט: מיטל-ליכט הויט טאָן
